Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2014-03-14,37.049869537353516,55.172672271728516,14.228645324707031,41.45024108886719,30.741840362548828,31.215547561645508,27.893146514892578,48.290409088134766,57.599056243896484
2014-03-17,37.35003662109375,55.46649169921875,14.378761291503906,41.95878601074219,31.104209899902344,31.398826599121094,28.07733917236328,48.76141357421875,57.98393249511719
2014-03-18,37.56334686279297,55.932769775390625,14.4505615234375,42.18479919433594,31.509721755981445,31.464797973632812,28.036407470703125,49.282005310058594,58.23759078979492
2014-03-19,37.2315559387207,55.51118469238281,14.4440336227417,41.74890899658203,31.380311965942383,31.222875595092773,27.593017578125,49.133262634277344,57.852718353271484
2014-03-20,37.7292366027832,55.72837448120117,14.672480583190918,41.86998748779297,31.621904373168945,31.332834243774414,27.654399871826172,49.133262634277344,58.001426696777344
2014-03-21,37.57061004638672,55.8804817199707,14.674446105957031,41.87403869628906,31.463321685791016,31.31515121459961,27.864194869995117,48.24189758300781,57.63115310668945
2014-03-24,37.27714920043945,55.76496505737305,14.667892456054688,41.73621368408203,31.43733024597168,31.285675048828125,27.93985939025879,47.70292663574219,57.052024841308594
2014-03-25,37.483367919921875,56.26559066772461,14.654787063598633,42.11725997924805,31.62795066833496,31.514102935791016,28.05679702758789,48.12580108642578,56.709815979003906
2014-03-26,36.94404602050781,56.00244903564453,14.504108428955078,41.68757247924805,31.246688842773438,31.440414428710938,27.93985939025879,48.14240264892578,56.25354766845703
2014-03-27,36.84091567993164,56.45817184448242,14.425498962402344,41.63082504272461,31.134044647216797,31.418317794799805,28.16684913635254,48.03459548950195,55.98151397705078
2014-03-28,37.094730377197266,57.1641960144043,14.484455108642578,41.93889617919922,31.255352020263672,31.499366760253906,28.208120346069336,47.8521728515625,56.402706146240234
2014-03-31,37.49921798706055,57.1641960144043,14.635127067565918,42.425331115722656,31.49797248840332,31.72776985168457,28.51763916015625,48.49894332885742,56.78877639770508
2014-04-01,37.705448150634766,57.504390716552734,14.66134262084961,42.72530746459961,31.87058448791504,31.67619514465332,28.318164825439453,48.805747985839844,57.57849884033203
2014-04-02,37.983036041259766,57.709781646728516,14.694092750549316,43.0252685546875,31.88790512084961,31.713035583496094,28.27689552307129,49.02130889892578,57.96456527709961
2014-04-03,38.030635833740234,58.08207702636719,14.667892456054688,43.09012985229492,31.73194694519043,31.74988555908203,28.36630630493164,48.913543701171875,57.683773040771484
2014-04-04,37.54682159423828,57.87025833129883,14.523762702941895,42.595603942871094,31.12537956237793,31.6467227935791,28.51763916015625,48.1009407043457,56.727359771728516
2014-04-07,36.99954605102539,56.901039123535156,14.301025390625,41.98754119873047,30.882753372192383,31.67619514465332,28.469493865966797,47.619998931884766,55.62177276611328
2014-04-08,37.14231872558594,57.47229766845703,14.320679664611816,41.98754119873047,31.16002655029297,31.838306427001953,28.875314712524414,47.230281829833984,56.18334197998047
2014-04-09,37.705448150634766,57.7354621887207,14.44515323638916,42.52263259887695,31.575963973999023,31.97829246520996,28.813426971435547,48.24189758300781,56.78877639770508
2014-04-10,36.951969146728516,56.93313980102539,14.11104965209961,41.679473876953125,30.848098754882812,31.66146469116211,28.703353881835938,46.63327407836914,55.376094818115234
2014-04-11,36.50782012939453,56.77266311645508,13.940711975097656,41.26601028442383,30.501493453979492,31.499366760253906,28.67584228515625,46.193817138671875,54.61271667480469
2014-04-14,36.80128479003906,57.5493278503418,14.05208969116211,41.5010986328125,30.80476188659668,31.74988555908203,28.847801208496094,46.45085144042969,55.04266357421875
2014-04-15,37.02334213256836,58.319549560546875,14.183103561401367,41.7929801940918,30.960739135742188,31.830930709838867,29.246747970581055,46.94837188720703,55.11285400390625
2014-04-16,37.57061004638672,59.01918029785156,14.294478416442871,42.43342971801758,31.26403045654297,32.140403747558594,29.459983825683594,47.180538177490234,55.885013580322266
2014-04-17,37.68959045410156,59.55834197998047,14.320679664611816,42.76583480834961,31.220703125,32.147762298583984,29.09541893005371,47.172245025634766,55.955204010009766
2014-04-21,37.697513580322266,59.96272659301758,14.307579040527344,42.88744354248047,31.342004776000977,32.16250228881836,29.06102752685547,47.736087799072266,56.10437774658203
2014-04-22,37.83234405517578,59.8664436340332,14.405841827392578,42.91176223754883,31.471986770629883,32.147762298583984,29.102298736572266,48.25847625732422,56.58695983886719
2014-04-23,37.84027862548828,60.18092346191406,14.4385986328125,43.07391357421875,31.134044647216797,32.096195220947266,29.11606216430664,48.018009185791016,56.3237419128418
2014-04-24,37.67372131347656,60.20021438598633,14.432048797607422,42.99284744262695,31.376670837402344,32.22145080566406,29.315528869628906,47.94338607788086,56.63084030151367
2014-04-25,37.404048919677734,59.840755462646484,14.314129829406738,42.571258544921875,30.978078842163086,32.26567459106445,29.65256118774414,47.58683395385742,55.66564178466797
2014-04-28,37.24541091918945,59.94346237182617,14.228963851928711,42.595603942871094,31.272680282592773,32.63407516479492,29.797021865844727,47.8687629699707,55.52525329589844
2014-04-29,37.50715637207031,60.21944808959961,14.36653995513916,42.70909118652344,31.489320755004883,32.494075775146484,29.673208236694336,48.150691986083984,55.77970886230469
2014-04-30,37.80854415893555,60.16812515258789,14.386186599731445,42.99284744262695,31.584632873535156,32.59723663330078,29.72135353088379,48.19214630126953,56.01661682128906
2014-05-01,37.57061004638672,60.033329010009766,14.412394523620605,42.88744354248047,31.619308471679688,32.5677604675293,29.845157623291016,48.299949645996094,56.23597717285156
2014-05-02,37.713375091552734,60.15526580810547,14.405841827392578,42.822593688964844,31.532651901245117,32.5677604675293,29.232988357543945,47.885345458984375,56.376373291015625
2014-05-05,37.919586181640625,60.43769073486328,14.34688949584961,42.91176223754883,31.69728660583496,32.494075775146484,29.494365692138672,48.200435638427734,56.42902755737305
